split,label,pos,neg,AUROC,AUPRC,F1_0_5
valid,VIP,12,99,0.7946127946127947,0.6289320886061762,0.47058823529411764
valid,VEIP,46,65,0.9110367892976589,0.9103333791239385,0.8351648351648352
valid,VINIP,29,82,0.8696383515559294,0.595498723264318,0.6666666666666666
valid,MAP,4,107,1.0,1.0,0.8571428571428571
valid,PIP,1,110,0.9636363636363636,0.2,0.0
valid,RTIP,14,97,0.91899852724595,0.6812808587186313,0.72
valid,SFIP,13,98,0.7833594976452118,0.5571593735746496,0.5454545454545454
test_hom40,VIP,10,99,0.9868686868686869,0.8782142857142857,0.5333333333333333
test_hom40,VEIP,39,70,0.8857142857142857,0.8551552988798473,0.7733333333333333
test_hom40,VINIP,22,87,0.8620689655172413,0.6782255328217907,0.7307692307692307
test_hom40,MAP,6,103,1.0,1.0,0.9090909090909091
test_hom40,PIP,6,103,0.5533980582524272,0.09656337457652084,0.0
test_hom40,RTIP,19,90,0.9660818713450292,0.8941065732794329,0.8571428571428571
test_hom40,SFIP,10,99,0.7868686868686869,0.4676829778484547,0.4
